question,sentence,label,idx
In which city was Tesla's consultant job for Westinghouse?,"In July 1888, Brown and Peck negotiated a licensing deal with George Westinghouse for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a royalty of $2.50 per AC horsepower produced by each motor.",1,116
What does high levels of inequality do to growth in poor countries?,"Research by Harvard economist Robert Barro, found that there is ""little overall relation between income inequality and rates of growth and investment"".",1,2209
The time required to output an answer on a deterministic Turing machine is expressed as what?,"The time required by a deterministic Turing machine M on input x is the total number of state transitions, or steps, the machine makes before it halts and outputs the answer (""yes"" or ""no"").",0,3111
What did Gasquet's book blame the plague on?,"The historian Francis Aidan Gasquet wrote about the 'Great Pestilence' in 1893 and suggested that ""it would appear to be some form of the ordinary Eastern or bubonic plague"".",1,2816
Who did Carolina beat in the divisional round?,"The Panthers then blew out the Arizona Cardinals in the NFC Championship Game, 49–15, racking up 487 yards and forcing seven turnovers.",1,825
Who wrote The Mutants?,On 31 July 1963 Whitaker commissioned Terry Nation to write a story under the title The Mutants.,0,5198
What kind of marriage was this ?,"Some priests and former religious had already married, including Andreas Karlstadt and Justus Jonas, but Luther's wedding set the seal of approval on clerical marriage.",0,560
How accurate did Guo make the reformed lunisolar calendar?,"During the Yuan period, Beijing became the terminus of the Grand Canal of China, which was completely renovated.",1,1950
When did the four rightly guided Caliphs die?,"HT sees Islam's pivotal turning point as occurring not with the death of Ali, or one of the other four rightly guided Caliphs in the 7th century, but with the abolition of the Ottoman Caliphate in 1924.",0,1863
Why has the corruption not be in the public view?,"Kenya’s armed forces, like many government institutions in the country, have been tainted by corruption allegations.",1,806
Which company did Mrs Foster work for?,"This could also be true if the enterprise is privatised, as it was held with a water company that was responsible for basic water provision.",1,2232
Who had the most receptions out of all players for the year?,"Veteran receiver Demaryius Thomas led the team with 105 receptions for 1,304 yards and six touchdowns, while Emmanuel Sanders caught 76 passes for 1,135 yards and six scores, while adding another 106 yards returning punts.",0,257
What was the name of the character known as the Time Lady?,"One of the roles of the companion is to remind the Doctor of his ""moral duty"".",1,4800
Does BSkyB carry any control over the picture quality of a channel?,"However, even in this case, BSkyB does not carry any control over the channel's content or carriage issues such as picture quality.",0,1967
What is the opposite of an ongoing role of teaching?,"In some countries, formal education can take place through home schooling.",1,4380
What ideal thermodynamic cycle analyzes the process by which steam engines work?,The ideal thermodynamic cycle used to analyze this process is called the Rankine cycle.,0,3680
What UN resolution endorsed the IPCC?,"It was first established in 1988 by two United Nations organizations, the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP), and later endorsed by the United Nations General Assembly through Resolution 43/53.",0,894
"Generally speaking, what size are the earthquakes that hit southern California?",Nearly all of them are so small that they are not felt.,0,1464
What was the average family size?,The average household size was 3.07.,1,4325
What famous composer used a Lutheran hymn in his work?,"Preachers and composers of the 18th century, including J. S. Bach, used this rich hymn as a subject for their own work, although its objective baptismal theology was displaced by more subjective hymns under the influence of late-19th-century Lutheran pietism.",0,3768
How much did the CM weigh in kgs?,"The module was 11.42 feet (3.48 m) tall, 12.83 feet (3.91 m) in diameter, and weighed approximately 12,250 pounds (5,560 kg).",0,4822
Where does southern California's megalopolis standard in terms of population nationwide?,"The urban area is also host to an international metropolitan region in the form of San Diego–Tijuana, created by the urban area spilling over into Baja California.",1,4282
Who were two of the founders of the United Methodist Church?,"Although United Methodist practices and interpretation of beliefs have evolved over time, these practices and beliefs can be traced to the writings of the church's founders, especially John Wesley and Charles Wesley (Anglicans), but also Philip William Otterbein and Martin Boehm (United Brethren), and Jacob Albright (Evangelical Association).",0,4103
"In China, this person inferred that the land was formed by erosion of the mountains and by silt deposition, what was his name?","Some modern scholars, such as Fielding H. Garrison, are of the opinion that the origin of the science of geology can be traced to Persia after the Muslim conquests had come to an end.",1,5070
What was the occasion for the boat demonstration?,"The crowd that witnessed the demonstration made outrageous claims about the workings of the boat, such as magic, telepathy, and being piloted by a trained monkey hidden inside.",1,4245
When did Luther introduce the new worship?,"Merciful God, what misery I have seen,"" Luther wrote, ""the common people knowing nothing at all of Christian doctrine ... and unfortunately many pastors are well-nigh unskilled and incapable of teaching.""",1,4631
In what year did William Maclure begin the process of creating the first geological map of the U.S.?,"The results of his unaided labours were submitted to the American Philosophical Society in a memoir entitled Observations on the Geology of the United States explanatory of a Geological Map, and published in the Society's Transactions, together with the nation's first geological map.",1,2882
How many customaries does Norman customary law have?,The customary law of Normandy was developed between the 10th and 13th centuries and survives today through the legal systems of Jersey and Guernsey in the Channel Islands.,1,1309
When did Tesla get his US citizenship?,"On 30 July 1891, at the age of 35, Tesla became a naturalized citizen of the United States, and established his South Fifth Avenue laboratory, and later another at 46 E. Houston Street, in New York.",0,5124
When did Temur rule?,"Thus, Zhenjin's third son, with the support of his mother Kökejin and the minister Bayan, succeeded the throne and ruled as Temür Khan, or Emperor Chengzong, from 1294 to 1307.",0,2676
Which empire was the last one Genghis Khan conquered before he died?,"Before Genghis Khan died, he assigned Ögedei Khan as his successor and split his empire into khanates among his sons and grandsons.",1,5156
From which country did the Rococo Augustus Rex Bureau Cabinet come from?,"There are a set of beautiful inlaid doors, dated 1580 from Antwerp City Hall, attributed to Hans Vredeman de Vries.",1,4180
What is the receptor that killer T cells use to bind to specific antigens that are complexed with the MHC Class 1 receptor of another cell?,Killer T cells are activated when their T cell receptor (TCR) binds to this specific antigen in a complex with the MHC Class I receptor of another cell.,0,2925
Scottish or Irish describe the type of what people in Newcastle have?,"There are also estimated to be between 500 and 2,000 Bolivians in Newcastle, forming up to 1% of the population—the largest such percentage of any UK city.",1,1481
"In 1951, rumors claimed that ABC might be sold to what network?","In 1951, Noble held a 58% ownership stake in ABC, giving him $5 million with which to prevent ABC from going bankrupt; as banks refused further credit, that amount was obtained through a loan from the Prudential Insurance Company of America.",1,2210
What were later Yuan emperors disinterested in?,"Uninterested in administration, they were separated from both the army and the populace, and China was torn by dissension and unrest.",0,3591
How much has global mean surface air temperature changed in the last century?,"They predict that under a ""business as usual"" (BAU) scenario, global mean temperature will increase by about 0.3 °C per decade during the [21st] century.",1,2733
Who receives higher salaries at private schools that charge higher tuition?,"High tuition, schools claim, is used to pay higher salaries for the best teachers and also used to provide enriched learning environments, including a low student to teacher ratio, small class sizes and services, such as libraries, science laboratories and computers.",0,3190
Which of Genghis Khan's sons completed the conquest of the Jin dynasty?,"Between 1232 and 1233, Kaifeng fell to the Mongols under the reign of Genghis' third son, Ögedei Khan.",0,2561
What is the name of the desert on the border of Arizona?,To the south is the Mexico–United States border.,1,3820
"At Millingen aan de Rijn where the Rhine splits, what does it change it's name to?","Three more flows carry significant amounts of water: the Nieuwe Merwede (""New Merwede""), which branches off from the southern branch where it changes from Boven to Beneden Merwede; the Oude Maas (""Old Meuse""), which branches off from the southern branch where it changes from Beneden Merwede into Noord, and Dordtse Kil, which branches off from Oude Maas.",1,5079
What does Kuznets' curve predict about income inequality given time?,Kuznets' curve predicts that income inequality will eventually decrease given time.,0,3664
what was Fresno's population in 2010?,"The 2010 United States Census reported that Fresno had a population of 494,665.",0,1879
What was one of the Norman's major exports?,"Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation.",0,2986
What is wasted by rubisco's flaw?,"This is a big problem, since O2 is produced by the initial light reactions of photosynthesis, causing issues down the line in the Calvin cycle which uses rubisco.",1,4865
Who was the leader of Russia in the 1960's?,"In his speech on the UN conference in 1960, he announced the continuation of the war on imperialism, stating that soon the people of different countries will come together and overthrow their imperialist leaders.",1,160
What military impact did Huguenot immigration have on Frederick's army?,"Three hundred refugees were granted asylum at the court of George William, Duke of Brunswick-Lüneburg in Celle.",1,4435
In what year was a set of significant rule changes introduced including the forward pass?,Camp would instead support revolutionary new rules for the 1906 season.,0,4755
What was the newer county added to the list?,"In 1999, the Times added a newer county—Imperial—to that list.",0,2590
What festival is held in October in Newcastle?,"The SAMA Festival, an East Asian cultural festival is also held in early October.",1,2470
What party had a victory in the 2015 UK election?,"Following the Conservative victory in the 2015 UK election, standing orders of the House of Commons were changed to give MPs representing English constituencies a new ""veto"" over laws only affecting England.",0,4401
What register did Chris Keates think that some teachers should not be placed on?,"Chris Keates, the general secretary of National Association of Schoolmasters Union of Women Teachers, said that teachers who have sex with pupils over the age of consent should not be placed on the sex offenders register and that prosecution for statutory rape ""is a real anomaly in the law that we are concerned about.",0,3207
A language solved in quadratic time implies the use of what type of Turing machine?,"For instance, the language {xx | x is any binary string} can be solved in linear time on a multi-tape Turing machine, but necessarily requires quadratic time in the model of single-tape Turing machines.",0,1626
Where was the  Continental Edison Company located?,"In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.",0,3001
Who had Toghtogha tried to defeat?,"In 1354, when Toghtogha led a large army to crush the Red Turban rebels, Toghun Temür suddenly dismissed him for fear of betrayal.",0,1827
What year did the university team up with Shimer College?,"In 1896, the university affiliated with Shimer College in Mount Carroll, Illinois.",0,4395
What is one way in which graphs can be encoded?,"As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded.",1,3735
When was the Cretaceous-Paleogen extinction occur?,He also suggested that the last common ancestor of modern ctenophores was either cydippid-like or beroid-like.,1,5299
How did Mongol armies lure enemy groups out of their defensive positions?,Another standard tactic of the Mongol military was the commonly practiced feigned retreat to break enemy formations and to lure small enemy groups away from the larger group and defended position for ambush and counterattack.,0,5165
What medical appliance can be a concern for oxygen toxicity?,"This is not a problem except for patients on mechanical ventilators, since gas supplied through oxygen masks in medical applications is typically composed of only 30%–50%",0,3690
What titles are the President given?,"The President is both the head of state and head of government, and of a multi-party system.",0,4430
What is the festival of food and drink known as?,"NewcastleGateshead, a festival of food and drink, runs for 2 weeks each year in mid June.",1,3986
"Along with trusts, what other non-profits are allowed to run schools in India?","Legally, only non-profit trusts and societies can run schools in India.",0,821
What did Luther call his stay a Wartburg Castle?,They escorted Luther to the security of the Wartburg Castle at Eisenach.,1,2484
When did Tesla depart from Colorado Springs?,"On 7 January 1900, Tesla left Colorado Springs.[citation needed]",0,1634
What were chao made out of?,Chao were made from the bark of mulberry trees.,0,2763
What did Gasquet's book blame the plague on?,"He was able to adopt the epidemiology of the bubonic plague for the Black Death for the second edition in 1908, implicating rats and fleas in the process, and his interpretation was widely accepted for other ancient and medieval epidemics, such as the Justinian plague that was prevalent in the Eastern Roman Empire from 541 to 700 CE.",0,4208
Where did British resettle many Acadians?,Some were sent to colonize places as diverse as French Guiana and the Falkland Islands; these latter efforts were unsuccessful.,1,1260
Of what was the Diet of Worms an assembly?,"This was a general assembly of the estates of the Holy Roman Empire that took place in Worms, a town on the Rhine.",0,2532
How much Victorian farmland is farmed in grains?,"More than 26,000 square kilometres (10,000 sq mi) of Victorian farmland are sown for grain, mostly in the state's west.",0,2724
Who were the astronauts aboard the Apollo 11 mission?,"The G mission was achieved on Apollo 11 in July 1969 by an all-Gemini veteran crew consisting of Neil Armstrong, Michael Collins and Buzz Aldrin.",0,3157
"As of February 2011, how many numbers has Goldbach's conjecture been proven to?","Weaker statements than this have been proven, for example Vinogradov's theorem says that every sufficiently large odd integer can be written as a sum of three primes.",1,2910
"What covered Scandinavia, the Baltics, Scotland, and the Alps in the last Ice Age?","A tundra, with Ice Age flora and fauna, stretched across middle Europe, from Asia to the Atlantic Ocean.",1,3440
"Large public works, dams, bridges, highways, water/wastewater and utility distribution are under what construction sector?","Infrastructure is often called heavy/highway, heavy civil or heavy engineering.",0,3242
In what year did Warszowa become the official capital of the Masovian Duchy?,"In the beginning of the 14th century it became one of the seats of the Dukes of Masovia, becoming the official capital of Masovian Duchy in 1413.",0,5130
What was Tesla's father's original plans for Tesla?,"Tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",0,4846
What governing body appoints commissioners and the board of European Central Bank?,"The ""European Council"" (rather than the Council, made up of different government Ministers) is composed of the Prime Ministers or executive Presidents of the member states.",0,548
What was Luther's marriage seen as by others?,"Some priests and former religious had already married, including Andreas Karlstadt and Justus Jonas, but Luther's wedding set the seal of approval on clerical marriage.",0,2812
Where did Tesla begin a new job at in 1882?,"In June 1884, he relocated to New York City:57–60 where he was hired by Thomas Edison to work at his Edison Machine Works on Manhattan's lower east side.",1,2319
How far did the sea level drop in the ice ages?,"Since approximately 600,000 years ago, six major Ice Ages have occurred, in which sea level dropped 120 m (390 ft) and much of the continental margins became exposed.",0,1455
How did Natives in Logstown take Celeron's information?,"When Céloron's expedition arrived at Logstown, the Native Americans in the area informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French.",0,4567
How recently has the homes in Fresno been restored?,The residential architecture of the Tower District contrasts with the newer areas of tract homes urban sprawl in north and east areas of Fresno.,1,2047
What do lobates feed on?,"Between the lobes on either side of the mouth, many species of lobates have four auricles, gelatinous projections edged with cilia that produce water currents that help direct microscopic prey toward the mouth.",1,4478
In what year was the ordination order of transitional deacon abolished?,"During this two or three-year period, the provisional elder is granted sacramental ministry in their local appointment.",1,3858
What kind of graph is an example of an input used in a decision problem?,The input is an arbitrary graph.,0,872
What year did TVOntario start showing Doctor Who episodes?,"From 1979 to 1981, TVO airings were bookended by science-fiction writer Judith Merril who would introduce the episode and then, after the episode concluded, try to place it in an educational context in keeping with TVO's status as an educational channel.",1,2211
What is it called when people in society rebel against laws they think are unfair?,"It has been used in many nonviolent resistance movements in India (Gandhi's campaigns for independence from the British Empire), in Czechoslovakia's Velvet Revolution and in East Germany to oust their communist governments, In South Africa in the fight against apartheid, in the American Civil Rights Movement, in the Singing Revolution to bring independence to the Baltic countries from the Soviet Union, recently with the 2003 Rose Revolution in Georgia and the 2004 Orange Revolution in Ukraine, among other various movements worldwide.",1,1560
Who reportedly wanted Tesla's company?,""" There have been numerous accounts of women vying for Tesla's affection, even some madly in love with him.[citation needed]",0,3428
How long does it take to get to the middle of Newcastle from its outskirts when riding the rails?,"The airport handles over five million passengers per year, and is the tenth largest, and the fastest growing regional airport in the UK, expecting to reach 10 million passengers by 2016, and 15 million by 2030.",1,967
From whom did Genghis Khan learn seige warfare?,"These include rifts with his early allies such as Jamukha (who also wanted to be a ruler of Mongol tribes) and Wang Khan (his and his father's ally), his son Jochi, and problems with the most important shaman, who was allegedly trying to drive a wedge between him and his loyal brother Khasar.",1,1357
Who succeeded Dick Clark on ABC's New Year's broadcasts?,"Since 1974, ABC has generally aired Dick Clark's New Year's Rockin' Eve on New Year's Eve (hosted first by its creator Dick Clark, and later by his successor Ryan Seacrest); the only exception was in 1999, when ABC put it on a one-year hiatus to provide coverage of the international millennium festivities, though Clark's traditional countdown from Times Square was still featured within the coverage.",0,4252
Which fullback fumbled the ball after a Darian Stewart tackle?,"However, the Panthers soon took the ball back when defensive end Kony Ealy tipped a Manning pass to himself and then intercepted it, returning the ball 19 yards to the Panthers 39-yard line with 1:55 left on the clock.",1,2064
Vetra and I Germanica and XX Valeria were the two legions for what?,The Romans kept eight legions in five bases along the Rhine.,1,337
Who translated this version of the scriptures?,"Around 1294, a French version of the Scriptures was prepared by the Roman Catholic priest, Guyard de Moulin.",0,3063
What institution has helped farmers grow new pigeon pea varieties?,"A consortium led by the International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) has had some success in helping farmers grow new pigeon pea varieties, instead of maize, in particularly dry areas.",0,2046
Where did support from governmental and religious groups come from?,The Taliban were spawned by the thousands of madrasahs the Deobandi movement established for impoverished Afghan refugees and supported by governmental and religious groups in neighboring Pakistan.,0,2216
What happened to Dane?,Dane was killed in a horse-riding accident when Nikola was five.,0,280
What type of authority do Sudbury schools prefer?,They also claim that in these schools the preservation of public order is easier and more efficient than anywhere else.,1,4212
Southern California is second to which island in terms of famous serf breaks?,Southern California is also important to the world of yachting.,1,1921
Who did Gegeen appoint as grand chancellor?,"He continued his father's policies to reform the government based on the Confucian principles, with the help of his newly appointed grand chancellor Baiju.",0,1589
What other activities does the UNFCCC require the IPCC to run?,The IPCC concentrates its activities on the tasks allotted to it by the relevant WMO Executive Council and UNEP Governing Council resolutions and decisions as well as on actions in support of the UNFCCC process.,1,2680
What process down the line does rubisco's flaw interfere with?,"This is a big problem, since O2 is produced by the initial light reactions of photosynthesis, causing issues down the line in the Calvin cycle which uses rubisco.",0,4560
In which direction does the west side of Fresno neighborhood lie to the 99 freeway?,"The neighborhood lies southwest of the 99 freeway (which divides it from Downtown Fresno), west of the 41 freeway and south of Nielsen Ave (or the newly constructed 180 Freeway), and extends to the city limits to the west and south.",0,4863
How many plant species make up the total in the rainforest?,"To date, at least 40,000 plant species, 2,200 fishes, 1,294 birds, 427 mammals, 428 amphibians, and 378 reptiles have been scientifically classified in the region.",0,4694
Is the Pope's confessor a Bishop?,"Orthodox Catholic, and Protestant/Non-Denominational, with a stronger tradition of spiritual formation in the more historic and authoritarian/hierarchical Christian traditions with a long tradition of ""discernment of spirits"", of vocations, and other aspects of spiritual life, especially the Roman and Orthodox Catholic Churches.",1,2368
Who has limited productive potential when faced with less access to education?,"As a result, those who are unable to afford an education, or choose not to pursue optional education, generally receive much lower wages.",1,3823
"New cameras were introduced for the game, what degree of view do they provide viewers?","In the United States, the game was televised by CBS, as part of a cycle between the three main broadcast television partners of the NFL.",1,4724
Who is known as the first Keeper of Fine Art Collection at the V&A?,"George Wallis (1811–1891), the first Keeper of Fine Art Collection, passionately promoted the idea of wide art education through the museum collections.",0,557
Who had established the Russian empire to its former glory prior to 1921?,"Bolshevik leaders had effectively reestablished a polity with roughly the same extent as that empire by 1921, however with an internationalist ideology: Lenin in particular asserted the right to limited self-determination for national minorities within the new territory.",0,503
What percentage of funds were given as charitable funds to causes in and around San Francisco?,"The committee created the 50 fund as its philanthropic initiative and focuses on providing grants to aid with youth development, community investment and sustainable environments.",1,830
What flood impacted the Meuse?,"Before the St. Elizabeth's flood (1421), the Meuse flowed just south of today's line Merwede-Oude Maas to the North Sea and formed an archipelago-like estuary with Waal and Lek.",0,518
What was the Brazilian French colony called?,It was an attempt to establish a French colony in South America.,1,3826
In which months does Fresno experience increased wind coming from the southeastern direction?,"Summers provide considerable sunshine, with July peaking at 97 percent of the total possible sunlight hours; conversely, January is the lowest with only 46 percent of the daylight time in sunlight because of thick tule fog.",1,3174
What does computational complexity theory most specifically seek to answer?,"The quantitative answer to this particular problem instance is of little use for solving other instances of the problem, such as asking for a round trip through all sites in Milan whose total length is at most 10 km.",1,3553
How many housing units were there in 2000?,"There were 149,025 housing units at an average density of 1,427.9 square miles (3,698 km2).",0,5383
Where was the disease spreading between 1348 and 1350?,"From Italy, the disease spread northwest across Europe, striking France, Spain, Portugal and England by June 1348, then turned and spread east through Germany and Scandinavia from 1348 to 1350.",0,4334
The presence or absence of what can be used to determine the relative age of the formations in which they are found?,"The principle becomes quite complex, however, given the uncertainties of fossilization, the localization of fossil types due to lateral changes in habitat (facies change in sedimentary strata), and that not all fossils may be found globally at the same time.",1,4588
"Who wrote ""Walking in Fresno?""",Aken also made his first TV appearance playing guitar on the old country-western show at The Fresno Barn.,1,2586
Which British sculptor and a leading member of the New Sculpture movement is represented in the the V&A collection?,A sample of some of these sculptors' work is on display in the British Galleries.,1,4933
In what borough is there a neighborhood called Huguenot?,"A small group of Huguenots also settled on the south shore of Staten Island along the New York Harbor, for which the current neighborhood of Huguenot was named.",0,4557
What was the first Doctor Who show that TVOntario ran?,TVOntario picked up the show in 1976 beginning with The Three Doctors and aired each series (several years late) through to series 24 in 1991.,0,4382
What was Warsaw ranked the 7th greatest of?,"It also has one of the fastest growing economies, with GDP growth at 6.5 percent in 2007 and 6.1 percent in the first quarter of 2008.",1,87
Why did Kublai's successors lose control of the rest of the Mongol empire?,"The final years of the Yuan dynasty were marked by struggle, famine, and bitterness among the populace.",1,600
What crime drama debuted on ABC in September 1994?,"September 1994 saw the debut of NYPD Blue, a gritty police procedural from Steven Bochco (who created Doogie Howser, M.D. and the critically pilloried Cop Rock for ABC earlier in the decade); lasting ten seasons, the drama became known for its boundary pushing of network television standards (particularly its occasional use of graphic language and rear nudity), which led some affiliates to initially refuse to air the show in its first season.",0,396
How was Tesla's mechanical oscillator powered?,Tesla invented a steam-powered mechanical oscillator—Tesla's oscillator.,0,648
How did trying to establish a devolved Scottish Assembly go in 1979?,"Under the terms of the Scotland Act 1978, an elected assembly would be set up in Edinburgh provided that the majority of the Scottish electorate voted for it in a referendum to be held on 1 March 1979 that represented at least 40% of the total electorate.",1,4108
The flags on the moon left by the U.S. manned Apollo missions are all still standing save for which mission's flag?,"All of the U. S. flags left on the Moon during the Apollo missions were found to still be standing, with the exception of the one left during the Apollo 11 mission, which was blown over during that mission's lift-off from the lunar surface and return to the mission Command Module in lunar orbit; the degree to which these flags retain their original colors remains unknown.",0,5016
Where is the highest point of the Rhine basin?,"The Aare also contains the waters from the 4,274 m (14,022 ft) summit of Finsteraarhorn, the highest point of the Rhine basin.",0,2836
Who were the two lay preachers that Wesley ordained as presbyters?,"As a result of the American Revolution, John Wesley was compelled in 1784 to break with standard practice and ordain two of his lay preachers as presbyters, Thomas Vasey and Richard Whatcoat.",0,1791
Why is Warsaw's flora very rich in species?,The flora of the city may be considered very rich in species.,1,5291
What is the name of the French colony established in 1564?,"A platted town was established there in 1822, a year after the United States gained Florida from Spain; it was named after Andrew Jackson, the first military governor of the Florida Territory and seventh President of the United States.",1,4021
Infrastructure is often called what?,There are other ways to break the industry into sectors or markets.,1,5182
What does oxygen the basis for in combustion?,"Fire and explosion hazards exist when concentrated oxidants and fuels are brought into close proximity; an ignition event, such as heat or a spark, is needed to trigger combustion.",1,3239
When did the formation of the Holocene Rhine-Meuse delta begin?,"At the begin of the Holocene (~11,700 years ago), the Rhine occupied its Late-Glacial valley.",1,4721
How many affiliates does Sinclair Broadcast Group service or own?,"The Sinclair Broadcast Group is the largest operator of ABC stations by numerical total, owning or providing services to 28 ABC affiliates and two additional subchannel-only affiliates; Sinclair owns the largest ABC subchannel affiliate by market size, WABM-DT2/WDBB-DT2 in the Birmingham market, which serve as repeaters of WBMA-LD (the largest low-power ""Big Four"" affiliate by market size, which itself is also simulcast on a subchannel of former WBMA satellite WGWW, owned by Sinclair partner company Howard Stirk Holdings).",0,3179
What is the definition of agency as it relates to capabilities?,"Unlike neoliberalism, which “defines well-being as utility maximization”, economic growth and income are considered a means to an end rather than the end itself.",1,2472
What was the name of the story from the third Torchwood series?,"A third series was broadcast from 6 to 10 July 2009, and consisted of a single five-part story called Children of Earth which was set largely in London.",0,2272
How is the opening of the Grainger Market documented in the Laing Art Gallery?,"The opening was celebrated with a grand dinner attended by 2000 guests, and the Laing Art Gallery has a painting of this event.",0,1158
What amendment to the United States Constitution governs government funding of religious schools?,"Funding for private schools is generally provided through student tuition, endowments, scholarship/voucher funds, and donations and grants from religious organizations or private individuals.",1,1621
When was the Special Report on Managing Risks of Extreme Events and Disasters to Advance Climate Change Adaptation (SREX) issued?,"In the year 2011 two IPCC Special Report were finalized, the Special Report on Renewable Energy Sources and Climate Change Mitigation (SRREN) and the Special Report on Managing Risks of Extreme Events and Disasters to Advance Climate Change Adaptation (SREX).",0,3755
What was Hero of Alexandria's nationality?,The history of the steam engine stretches back as far as the first century AD; the first recorded rudimentary steam engine being the aeolipile described by Greek mathematician Hero of Alexandria.,0,1741
What Governor in charge of New France died in 1752?,"On March 17, 1752, the Governor-General of New France, Marquis de la Jonquière, died and was temporarily replaced by Charles le Moyne de Longueuil.",0,2441
"What provided for the creation of new orders known as ""provisional elder?""",At the 1996 General Conference the ordination order of transitional deacon was abolished.,0,1457
What resource is the economy of southern California depedent on?,"It is dominated and heavily dependent upon abundance of petroleum, as opposed to other regions where automobiles not nearly as dominant, the vast majority of transport runs on this fuel.",0,5392
Big O notation provides autonomy to upper and lower bounds with relationship to what?,"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms.",1,206
What appears to be used exclusively in Newcastle and surrounding areas?,"Many words, however, appear to be used exclusively in Newcastle and the surrounding area, such as ""Canny"" (a versatile word meaning ""good"", ""nice"" or ""very""), ""hacky"" (""dirty""), ""netty"" (""toilet""), ""hoy"" (""throw"", from the Dutch gooien, via West Frisian), ""hockle"" (""spit"").",0,4825
What is another name for a coal supply bin?,"When coal is used, a chain or screw stoking mechanism and its drive engine or motor may be included to move the fuel from a supply bin (bunker) to the firebox.",0,904
What is the highest peak in Victoria?,There is an extensive series of river systems in Victoria.,1,1249
In the most basic sense what did a Turing machine emulate?,"Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers.",1,619
What Lionsgate trailer was shown during the Super Bowl?,"20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl.",1,1836
What's the name of the United Kingdom's sole remaining news cinema?,"The site currently houses three cinemas, including the restored Classic —the United Kingdom's last surviving news cinema still in full-time operation—alongside two new screens, a roof extension containing the Tyneside Bar, and dedicated education and teaching suites.",0,1668
What food bacteria is an example of intracellular pathogenesis?,An evasion strategy used by several pathogens to avoid the innate immune system is to hide within the cells of their host (also called intracellular pathogenesis).,1,2675
What is the last name of the player who was Manning's top receiver for Super Bowl 50?,"Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.",1,4100
What did Luther's opponents think that it meant about God's presence?,"Luther insisted on the Real Presence of the body and blood of Christ in the consecrated bread and wine, which he called the sacramental union, while his opponents believed God to be only spiritually or symbolically present.",0,2640
"What additional srevice did BSkyB offer besides HD channels that they claimed offered ""substantially more value""?","Virgin Media claimed that BSkyB had substantially increased the asking price for the channels, a claim which BSkyB denied, on the basis that their new deal offered ""substantially more value"" by including HD channels and Video On Demand content which was not previously carried by cable.",0,1144
Where did Jebe's forces first defeat Kuchlug?,"Kuchlug fled again, but was soon hunted down by Jebe's army and executed.",1,4371
What year did Tesla avade the draft?,"He read many books while in Tomingaj, and later said that Mark Twain's works had helped him to miraculously recover from his earlier illness.",1,559
The first episode of Doctor Who premiered the day after what famous event in history?,"The first of these was the ""Dalekmania"" period (circa 1964–1965), when the popularity of the Daleks regularly brought Doctor Who ratings of between 9 and 14 million, even for stories which did not feature them.",1,421
What is the name of contemporary Mongolian currency?,There have been repeated discussions about regulating the use of his name and image to avoid trivialization.,1,2021
What is the low end of the temperature range in summer?,"In the summers, temperature ranges are 90-60's while as winters are 70-50's, usually all of Southern California have Mediterranean climate.",0,774
Dendritic cells are named that because they resemble what?,"They are named for their resemblance to neuronal dendrites, as both have many spine-like projections, but dendritic cells are in no way connected to the nervous system.",0,3716
What was Brown's job?,"In late 1886 Tesla met Alfred S. Brown, a Western Union superintendent, and New York attorney Charles F. Peck.",0,2235
"Where are the Harvard medical, Dental and school of Public Health located?","The Harvard Medical School, Harvard School of Dental Medicine, and the Harvard School of Public Health are located on a 21-acre (8.5 ha)",1,811
How is income inequality generally viewed by workers?,"""Markets, by themselves, even when they are stable, often lead to high levels of inequality, outcomes that are widely viewed as unfair.",0,2071
Which rival of the Mongols is suspected of inventing the story that Genghis Khan was murdered by a captured princess?,According to The Secret History of the Mongols Genghis Khan fell from his horse while hunting and died because of the injury.,1,883
What do chloroplasts in mesophyll cells specialized use to make ATP?,"As a result, chloroplasts in C4 mesophyll cells and bundle sheath cells are specialized for each stage of photosynthesis.",1,2107
Who played Doctor Who on stage in the 70's?,Doctor Who has appeared on stage numerous times.,1,3912
When did Tesla claim to have built the weapon?,"Only a little time will pass before I can give it to the world.""",1,4450
How old was Martin Luther when he married?,"At the time of their marriage, Katharina was 26 years old and Luther was 41 years old.",0,1163
How do chloroplasts trigger the plant's immune system?,"Chloroplasts stimulate both responses by purposely damaging their photosynthetic system, producing reactive oxygen species.",0,1354
